Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles,46,41,390,3646.0923565217176,244.93379999967146,16506.41080000014,676551.6304347826,0.4063656515454372,0.3621954720296288,400,720,7400,8000,15000,15000,17000,17000,17000,17000,17000
GET,GET /articles?category=...,22,19,360,2689.821809090889,260.9143999998196,15403.06129999999,177391.77272727274,0.19434878986955692,0.1678466821600719,360,820,1300,2200,11000,12000,15000,15000,15000,15000,15000
GET,GET /sources,10,8,390,1226.6210900000715,324.12010000007285,5538.885899999968,253.6,0.08834035903161679,0.07067228722529342,440,440,440,3600,5500,5500,5500,5500,5500,5500,5500
POST,POST /api/articles/compare,15,13,380,1401.312553333264,327.58279999961815,8167.295400000057,478610.4666666667,0.13251053854742517,0.11484246674110182,380,390,440,450,8000,8200,8200,8200,8200,8200,8200
,Aggregated,93,81,380,2797.6583591397657,244.93379999967146,16506.41080000014,453824.59139784944,0.821565338994036,0.715556908156096,380,480,1300,6500,11000,15000,16000,17000,17000,17000,17000
